sleep_hours,productivity_score,steps_per_day,calories_intake,weight_kg,caffeine_mg
7.5960569836134795,83.75598596838238,8894.468400870708,2302.795446658141,,22.445787296450632
,69.93763915073943,9401.961315920586,1631.1338703289498,50.09383288463036,102.04999816369818
7.777226245720831,81.94490856917649,10707.628107938192,2347.842368042264,52.41081810420075,150.41949597745466
8.82763582768963,83.88036608153281,10634.505130087258,2542.2551435219802,51.320620138605,153.75844750117938
6.719015950331997,70.25796875098328,4555.826580107272,2165.3739612894806,62.6418642333808,113.99476228166051
,73.83567675985078,,2750.7183250232265,66.49289072706917,199.8279945877999
8.89505537860887,87.08511341420468,9287.58816802165,1690.4843203585708,50.83039569240904,64.59036564939245
7.92092167498349,77.85383031254202,9284.464877280521,1502.1381186754331,50.0,
6.436630736878057,83.45454294196507,9287.61921576512,,50.0,159.6236505369519
7.6510720523031575,74.48422709780392,15000.0,2598.4177245956735,50.0,191.15510672469992
6.443898768625045,73.37629516587273,9427.226276732918,2261.746262541623,59.58708606357173,206.9291902471112
6.441124295715692,66.92975628768986,,1977.766131635818,,60.02863265297046
7.290354725879241,86.1360774203398,10385.004408733006,2111.987450527928,60.14264715636196,27.270866341150224
4.7040637064106425,67.36324482311286,9628.478128264494,1549.8043810806494,50.0,252.21414575188072
4.93009860098436,73.13290155040626,7211.826888399136,2978.3007918467306,73.6016881853883,176.58512095836733
6.325254964910833,58.7706791174335,9897.423051233169,2051.688472790091,50.763681013944584,
5.784602655598691,75.06678280180027,6067.9369636560705,2043.7579178419571,52.16609955054714,274.09215804180184
7.377096799114328,86.15724628197634,7407.953483149978,2290.3066495594767,53.95232039971715,159.25397074342868
5.910371109374547,73.45081181220387,6786.591130427241,2192.403692694685,54.52722107572376,244.34377472510613
5.3052355583976505,75.01730070629299,8204.685348465806,2089.5536097116524,54.88844502585071,155.40147851280872
8.758778522705864,87.86015855514897,,1683.8102178218753,50.0,314.85983399055897
6.7290684394161575,90.36200817984528,3331.8370185206295,2188.5873428543982,58.39679256677894,290.42726739545634
7.081033845625509,94.77987410635728,,2752.8097985900135,58.33846890787082,130.08286812167412
5.290302176543852,,3968.210322025871,2538.168018461991,75.2170525315644,227.72567607634844
6.346740730569781,70.56532649121687,6820.170335526416,2637.2746506557587,70.05475615508304,201.6300759668118
,92.21043420093028,10722.376492418414,1795.513729427526,50.0,259.4905246025879
5.618807707093237,78.53360710301287,8160.700047738657,1604.1580718965677,50.0,72.80612315359164
7.450837622014807,76.66866901885895,5305.638055176734,1949.6852319601408,56.0379223343479,204.88411679987513
6.279233572097434,71.35412566425676,,2022.2899649154779,58.01745835236269,234.67395894796704
,67.92455336318888,9698.994372336689,2437.6766073883796,50.0,9.300841086150854
